input_id	dealiased_id	standard_id	short_id
doi:10.1016/j.ocemod.2016.11.002	doi:10.1016/j.ocemod.2016.11.002	doi:10.1016/j.ocemod.2016.11.002	16FZGVbjq
doi:10.1175/JPO-D-11-0102.1	doi:10.1175/JPO-D-11-0102.1	doi:10.1175/jpo-d-11-0102.1	iEvd71XZ
doi:10/czj94h	doi:10/czj94h	doi:10.1016/s0021-9991(02)00020-7	1BurLi684
doi:10.1029/2019MS001810	doi:10.1029/2019MS001810	doi:10.1029/2019ms001810	15oRam722
doi:10.1029/JC092iC05p05448	doi:10.1029/JC092iC05p05448	doi:10.1029/jc092ic05p05448	s5omzFyF
doi:10.1175/MWR-D-15-0245.1	doi:10.1175/MWR-D-15-0245.1	doi:10.1175/mwr-d-15-0245.1	11iLRlCzn
doi	doi	doi	FSDqKxd0
doi:10.1016/j.ocemod.2013.02.004	doi:10.1016/j.ocemod.2013.02.004	doi:10.1016/j.ocemod.2013.02.004	aCtzxw2b
doi:10.1175/JPO-D-16-0169.1	doi:10.1175/JPO-D-16-0169.1	doi:10.1175/jpo-d-16-0169.1	1ELgTXyPE
doi:10.1007/s00382-009-0575-y	doi:10.1007/s00382-009-0575-y	doi:10.1007/s00382-009-0575-y	wgQ1IOE
doi:10.1029/2012GL051813	doi:10.1029/2012GL051813	doi:10.1029/2012gl051813	98spV0Xy
doi:10.1016/j.ocemod.2014.07.002	doi:10.1016/j.ocemod.2014.07.002	doi:10.1016/j.ocemod.2014.07.002	QLqz1ikD
doi:10.1103/PhysRevLett.72.336	doi:10.1103/PhysRevLett.72.336	doi:10.1103/physrevlett.72.336	xnFff0VE
doi:10.1146/annurev.fluid.32.1.1	doi:10.1146/annurev.fluid.32.1.1	doi:10.1146/annurev.fluid.32.1.1	L6tNOjdt
doi:10.1016/j.ocemod.2013.10.005	doi:10.1016/j.ocemod.2013.10.005	doi:10.1016/j.ocemod.2013.10.005	gX7w13Ui
doi:10.1016/j.ocemod.2013.05.004	doi:10.1016/j.ocemod.2013.05.004	doi:10.1016/j.ocemod.2013.05.004	1G83FZaTA
doi:10.1029/2018JC014628	doi:10.1029/2018JC014628	doi:10.1029/2018jc014628	19MoLbc9y
doi:10.1175/JCLI-D-19-0484.1	doi:10.1175/JCLI-D-19-0484.1	doi:10.1175/jcli-d-19-0484.1	6CQsVTjD
doi:10.1029/2018GL081211	doi:10.1029/2018GL081211	doi:10.1029/2018gl081211	NmKQgF3l
doi:10.1017/S1350482701003073	doi:10.1017/S1350482701003073	doi:10.1017/s1350482701003073	cidETWYD
doi:10.1175/MWR2949.1	doi:10.1175/MWR2949.1	doi:10.1175/mwr2949.1	auaKVbnh
doi:10.1175/JPO-D-17-0136.1	doi:10.1175/JPO-D-17-0136.1	doi:10.1175/jpo-d-17-0136.1	jHnbYGh6
doi:10.1175/JCLI-D-11-00077.1	doi:10.1175/JCLI-D-11-00077.1	doi:10.1175/jcli-d-11-00077.1	HG9jfyuw
doi:10.1175/JPO-D-14-0163.1	doi:10.1175/JPO-D-14-0163.1	doi:10.1175/jpo-d-14-0163.1	1BIO8o4Ez
doi:10.1175/JCLI-D-17-0168.1	doi:10.1175/JCLI-D-17-0168.1	doi:10.1175/jcli-d-17-0168.1	63Pfx20q
doi:10.1002/2017GL073026	doi:10.1002/2017GL073026	doi:10.1002/2017gl073026	5w57uJMB
doi:10.5670/oceanog.2018.210	doi:10.5670/oceanog.2018.210	doi:10.5670/oceanog.2018.210	mK4aqzJL
doi:10.1002/qj.3397	doi:10.1002/qj.3397	doi:10.1002/qj.3397	2en66g59
doi:10.5194/gmd-10-1091-2017	doi:10.5194/gmd-10-1091-2017	doi:10.5194/gmd-10-1091-2017	6Wyy9yHE
doi:10.1175/BAMS-D-15-00268.1	doi:10.1175/BAMS-D-15-00268.1	doi:10.1175/bams-d-15-00268.1	srCk3MOg
doi:10.1098/rsta.2005.1676	doi:10.1098/rsta.2005.1676	doi:10.1098/rsta.2005.1676	W9oDZEsu
doi:10.1002/qj.49712757202	doi:10.1002/qj.49712757202	doi:10.1002/qj.49712757202	kWNWBtHV
doi:10.1016/j.ocemod.2014.04.002	doi:10.1016/j.ocemod.2014.04.002	doi:10.1016/j.ocemod.2014.04.002	cvErSC4J
doi:10.1016/j.ocemod.2014.06.002	doi:10.1016/j.ocemod.2014.06.002	doi:10.1016/j.ocemod.2014.06.002	r8MymJMT
doi:10.1098/rsta.2008.0059	doi:10.1098/rsta.2008.0059	doi:10.1098/rsta.2008.0059	1GDCydxE3
doi:10.1175/BAMS-D-17-0040.1	doi:10.1175/BAMS-D-17-0040.1	doi:10.1175/bams-d-17-0040.1	15o7Vee83
doi:10.5194/gmd-8-1285-2015	doi:10.5194/gmd-8-1285-2015	doi:10.5194/gmd-8-1285-2015	yu1a4S7y
doi:10.1175/JCLI-D-16-0539.1	doi:10.1175/JCLI-D-16-0539.1	doi:10.1175/jcli-d-16-0539.1	H5SgaObB
doi:10/cm4fhf	doi:10/cm4fhf	doi:10.1016/s0893-6080(03)00027-3	Z67yKZ2P
doi:10.1029/2006RG000200	doi:10.1029/2006RG000200	doi:10.1029/2006rg000200	Nes4nFN9
isbn:0-521-45071-3	isbn:0-521-45071-3	isbn:9780521450713	1FZjqePOZ
arxiv:1607.03597	arxiv:1607.03597	arxiv:1607.03597	14ChiN9DR
